hsn_code,hsn_code_4_digits,details,gst_rate
0206.90.10,206,"Edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies - frozen",12
0206.90.90,206,"Other, edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies -
frozen",12
0207.00.00,207,"Meat & edible offal of poultry, fresh and chilled",0
0207.00.00,207,"Meat & edible offal of poultry, frozen",12
0207.11.00,207,"Turkeys other: chickens young (broilers, fryers, roasters, and capons) ducks, geese and guineas poultry not cut in pieces, fresh and chilled: chickens: young (broilers, fryers, roasters, and capons)",0
0207.12.00,207,"Meat & edible offal of poultry, fresh & chilled of fowls not cut in pieces",0
0207.14.00,207,"Meat & edible offal of poultry, fresh or chilled of fowls cuts and offal",0
0207.22.00,207,Turkeys fresh & chilled,0
0207.24.00,207,Turkeys not cut in pieces fresh & chilled,0
0207.25.00,207,Turkeys not cut in pieces frozen,12
0207.26.00,207,Turkeys cut in pieces fresh & chilled,0
0207.27.00,207,Turkeys cut in pieces frozen,12
0207.30.00,207,"Meat & edible offal of ducks, geese or guinea fowls fresh or chilled",0
0207.31.00,207,"Meat & edible offal of ducks, geese or guinea fowls frozen",12
0207.32.00,207,"Meat & edible offal of ducks, geese or guinea fowls - not cut in pieces fresh or chilled",0
0207.33.00,207,"Meat & edible offal of ducks, geese or guinea fowls - not cut in pieces -frozen",12
0207.34.00,207,Fatty livers of geese or ducks fresh or chilled,0
0207.36.00,207,Fatty livers of geese or ducks frozen,12
0207.35.00,207,"Other, Fatty livers of geese or ducks - fresh or chilled",0
0207.39.00,207,"Chickens, turkeys, ducks, geese or guineas poultry cuts and offal other than livers, frozen:",12
0208.00.00,208,"Other meat & edible meat offal , fresh, chilled",0
0208.00.00,208,"Other meat & edible meat offal ,frozen",12
0208.10.00,208,Edible offal of Rabbits or hares - fresh or chilled,0
0208.10.00,208,Edible offal of Rabbits or hares - frozen,12
0208.20.00,208,Edible offal of Frogs' legs - fresh or chilled,0
0208.20.00,208,Edible offal of Frogs' legs - frozen,12
0208.30.00,208,Edible offal of Primates - fresh or chilled,0
0208.30.00,208,Edible offal of Primates - frozen,12
0208.40.00,208,"Edible offal of Whales, dolphins and porpoises; of manatees and dugongs - fresh
or chilled",0
0208.40.00,208,"Edible offal of Whales, dolphins and porpoises; of manatees and dugongs - frozen",12
0208.50.00,208,Edible offal of Reptiles (including snakes and turtles) - fresh or chilled,0
0208.50.00,208,Edible offal of Reptiles (including snakes and turtles) - frozen,12
0208.90.00,208,"Other meat and edible offal (fresh, chilled)",0
0208.90.00,208,Other meat and edible offal (frozen),12
0208.90.10,208,Wild animals,0
0208.90.90,208,"Other meat and edible offal (fresh, chilled): other",0
0208.90.90,208,Other meat and edible offal (frozen): other,12
0209.00.00,209,"Pig fat free of lean meat and poultry fat (not rendered),fresh, chilled",0
0209.00.00,209,"Pig fat free of lean meat and poultry fat (not rendered)salted, in brine, dried or smoked
(Frozen)",12
0210.00.00,210,"Meat & ed offal salted, dried etc. & flour & meal",12
0210.11.00,210,"Hams, shoulders and cuts thereof, with bone in",12
0210.12.00,210,Bellies (streaky) and cuts thereof: bacon other,12
0210.19.00,210,"Other meat of swine (salted, in brine, dried, smoked)",12
0210.20.00,210,Meat of bovine animals,12
0210.90.00,210,"Other, including edible flours and meals of meat or meat offal",12
0301.00.00,301,Live Fish,0
0301.10.00,301,Ornamental fish,0
0301.91.00,301,"Trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)",0
0301.92.00,301,Eels (anguilla spp),0
0301.93.00,301,Carp,0
0301.94.00,301,Bluefin tunas (Thunnus thynnus),0
0301.95.00,301,Southern bluefin tunas (Thunnus thynnus),0
0301.99.00,301,Other live fish,0
0302.00.00,302,"Fish, fresh or chilled (excluding fish fillets and other fish meat)",0
0302.11.00,302,"Trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae): rainbow trout (salmo gairdneri), farmed",0
0302.12.00,302,"Pacific salmon (oncorhynchus spp), atlantic salmon (salmo salar) and danube salmon (hucho) atlantic: farmed , not farmed , chinook (king), chum (dog) , pink
(humpie),sockeye (red), coho (silver)",0
0302.19.00,302,"Flat fish (pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and
citharidae), excluding livers and roes:",0
0302.21.00,302,"Halibut and greenland turbot (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis)",0
0302.22.00,302,Plaice (pleuronectes platessa),0
0302.23.00,302,Sole (solea spp),0
0302.29.00,302,"Tunas (of genus thunnus), skipjack or stripe- bellied bonito (euthynnus (katsuwonus, pelamis), excluding livers and roes:",0
0302.31.00,302,Albacore or longfinned tunas (thunnus alalunga),0
0302.32.00,302,Yellowfin tunas (thunnus albacares),0
0302.33.00,302,Skipjack or stripe-bellied bonito,0
0302.39.00,302,Bluefin (thunnus thynnus),0
0302.40.00,302,"Herrings (clupea harengus, clupea pallasii), excluding livers and roes",0
0302.50.00,302,"Cod (gadus morhua, gadus ogac, gadus macrocephalus), excluding livers and roes
other fish, excluding livers and roes:",0
0302.61.00,302,"Sardines (sardina pilchardus, sardinops spp),
sardinella (sardinella spp), brisling or sprats(sprattus sprattus)",0
0302.62.00,302,Haddock (melanogrammus aeglefinus),0
0302.63.00,302,Atlantic pollock (coalfish) (pollachius virens),0
0302.64.00,302,"Mackerel (scomber scombrus, scomber australasicus, scomb er japonicus)",0
0302.65.00,302,"Dogfish and other sharks, dogfish (squalus spp)",0
0302.66.00,302,Eels (anguilla spp),0
0302.69.00,302,"Sablefish (anoplopoma fimbria),lingcod (ophiodon elongatus), monkfish (lophius spp)",0
0302.70.00,302,"Livers and roes, mullet roe",0
0303.00.00,303,"Fish, Frozen (excluding fish fillets and other fish meat)",5
0303.10.00,303,"Pacific salmon (oncorhynchus spp), excludinglivers and roes:",5
0303.11.00,303,Chinook (king),5
0303.12.00,303,Chum (dog),5
0303.13.00,303,Pink (humpie),5
0303.14.00,303,Sockeye (red),5
0303.15.00,303,Coho (silver),5
0303.16.00,303,"Other , other salmonidae, excluding livers and roes:",5
0303.21.00,303,"Trout (salmo trutta, salmo gairdneri, salmo, clarki, salmo aguabonita, salmo gilae)",5
0303.22.00,303,Tlantic salmon (salmo salar) and danube salmon (hucho hucho),5
0303.29.00,303,"Other flat fish (pleuronectidae, bothidae,
cynoglossidae,soleidae, scophthalmidae and citharidae), excluding livers and roes:",5
0303.31.00,303,"Halibut and greenland turbot (reinhardtius, hippoglossoides,hippoglossus hippoglossus, hippoglossus stenolepis):",5
0303.32.00,303,Plaice (pleuronectes platessa),5
0303.33.00,303,Sole (solea spp),5
0303.39.00,303,"Tunas (of genus thunnus), skipjack or stripe- bellied bonito (euthynnus (katsuwonus pelamis), excluding livers and roes:",5
0303.41.00,303,Albacore or longfinned tunas (thunnus alalunga),5
0303.42.00,303,Yellowfin tunas (thunnus albacares),5
0303.43.00,303,Skipjack or stripe-bellied bonito,5
0303.49.00,303,Bluefin (thunnus thynnus),5
0303.50.00,303,"Herrings (clupea harengus, clupea pallasii),excluding livers and roes",5
0303.60.00,303,"Cod (gadus morhua, gadus ogac, gadus macrocephalus), other fish, excluding livers
and roes:",5
0303.71.00,303,"Sardines (sardina pilchardus, sardinops spp), sardinella (sardinella spp), brisling or
sprats(sprattus sprattus)",5
0303.72.00,303,Haddock (melanogrammus aeglefinus),5
0303.73.00,303,Atlantic pollock (pollachius virens),5
0303.74.00,303,"Mackerel (scomber scombrus, scomber australasicus, scomber japonicus)",5
0303.75.00,303,"Dogfish and other sharks, dogfish (squalus spp)",5
0303.76.00,303,Eels (anguilla spp),5
0303.77.00,303,"Sea bass (dicentrarchus labrax, dicentrarchus punctatus)",5
0303.78.00,303,Whiting (merluccius spp) and hake (urophycis spp),5
0303.79.00,303,"Tilapia (tilapiinae), mullet , monkfish (lophius spp), butterfish, sablefish (anoplopoma
fimbria)",5
0303.80.00,303,"Livers and roes sturgeon roe , herring roe,
salmon roe alaska pollock (theragra chalcogramma) roe mullet roe",5
0304.00.00,304,"Fish fillets and other fish meat (whether or not minced), fresh or chilled",0
0304.00.00,304,"Fish fillets and other fish meat (whether or not minced), frozen",5
0304.10.00,304,Fresh or chilled: tilapia (tilapiinae),0
0304.10.00,304,Frozen: tilapia (tilapiinae),5
0304.11.00,304,Sword fish (Xiphias gladius) - fresh or chilled,0
0304.21.00,304,Sword fish (Xiphias gladius) - frozen,5
0304.12.00,304,Tooth fish (Dissostichus spp.) - fresh or chilled,0
0304.22.00,304,Tooth fish (Dissostichus spp.) - frozen,5
0304.19.00,304,"Other - Hilsa, shark, seer, tuna, cuttlefish - fresh or chilled",0
0304.29.00,304,"Other - Hilsa, shark, seer, tuna, cuttlefish -
frozen",5
0304.20.00,304,"Frozen fillets: cod halibut , fresh-water catfish,
tilapia (tilapiinae) alaska pollock (theragra chalcogramma)",5
0304.90.00,304,"Other: minced: surim, alaska pollock (theragra chalcogramma) - fresh or chilled",0
0304.90.00,304,"Other: minced: surim, alaska pollock (theragra chalcogramma) - frozen",5
0305.00.00,305,"Fish, dried, salted or in brine; smoked fish; whether or not cooked before or during the smoking process; flours, meals and pellets, of fish fit for human consumption",5
0305.10.00,305,"Flours, meals and pellets of fish, fit for human consumption",5
0305.20.00,305,"Livers and roes, dried, smoked, salted or in brine, salmon roe, herring roe",5
0305.30.00,305,"Fish fillets, dried, salted or in brine, but not smoked smoked fish, including fillets:",5
0305.41.00,305,"Pacific salmon (oncorhynchus spp), atlantic salmon (salmo salar) and danube salmon
(hucho hucho)",5
0305.42.00,305,"Herrings (clupea harengus, clupea pallasii)",5
0305.49.00,305,"Other, dried fish, whether or not salted but not smoked:",5
0305.51.00,305,"Cod (gadus morhua, gadus ogac, gadus macrocephalus)",5
0305.59.00,305,"Other fish, salted but not dried or smoked and fish in brin",5
0305.61.00,305,"Herrings (clupea harengus, clupea pallasii)",5
0305.62.00,305,"Cod (gadus morhua, gadus ogac, gadus macrocephalus)",5
0305.63.00,305,Anchovies (engraulis spp),5
0305.69.00,305,Other fish (salted or in brine),5
0306.00.00,306,"Crustaceans, whether in shell or not, live, fresh or chilled; crustaceans, in shell, cokked by steaming or by boiling in water, chilled",0
0306.00.00,306,"Crustaceans, whether in shell or not, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, frozen, dried, salted or in brine; flours, meals and pellets of crustaceans, fit for human consumption.",5
0306.11.00,306,Rock lobster and other sea crawfish - frozen,5
0306.21.00,306,Rock lobster and other sea crawfish - not frozen,0
0306.12.00,306,Lobsters (homarus spp)- frozen,5
0306.22.00,306,Lobsters (homarus spp) - not forzen,0
0306.13.00,306,Shrimps and prawns - frozen,5
0306.23.00,306,Shrimps and prawns - not frozen,0
0306.14.00,306,Crabs: crabmeat - frozen,5
0306.24.00,306,Crabs: crabmeat - not frozen,0
0306.19.00,306,"Other, including flours, meals and pellets of crustaceans, fit for human consumption -
frozen",5
0306.29.00,306,"Other, including flours, meals and pellets of crustaceans, fit for human consumption - not
frozen",5
0307.00.00,307,"Molluscs, whether in shell or not, live, fresh or chilled; auatic inverterbrates other than crustaceans and molluscs live, fresh, chilled",0
0307.00.00,307,"Molluscs, whether in shell or not, frozen, dried, salted or in brine; auatic invertebrates other than crustaceans and molluscs, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebra other than crustaceans, fit for human consum",5
0307.10.00,307,"Oysters - Live, fresh or chilled",0
0307.14.00,307,"Other, scallops, including queen scallops, of the genera pecten, chlamys or placopecten -
live, fresh or chilled",0
0307.29.00,307,"Other, mussels (mytilus spp, perna spp): live, fresh or chilled:",0
0307.31.00,307,"Farmed, cuttle fish (sepia officinalis, rossia macrosoma,sepiola spp) and squid (ommastrephes spp, loligo spp, nototodarus spp, sepioteuthis spp): live, fresh and chilled",0
0307.39.10,307,"Clams, clam meat - live, fresh and chilled",0
0307.41.00,307,"Live, fresh or chilled: squid: loligo",0
0307.49.00,307,"Squid: frozen fillets, loligo: loligo opalescens, loligo pealei, octopus (octopus spp):",5
0307.49.10,307,"Squid tubes, frozen",5
0307.49.20,307,"Whole squids, frozen",5
0307.49.30,307,Dried squids,5
0307.51.00,307,"OctopusLive, fresh or chilled",0
0307.60.00,307,"Snails, other than sea snails, other, including flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for
human consumption:",5
0307.91.00,307,"Live, fresh or chilled: sea urchin: roe, conch",0
0307.99.00,307,"Live, fresh or chilled: sea urchin: roe, conch: Other",0
0307.99.20,307,"Jelly fish, dried, salted or frozen",5
0307.99.90,307,"Jelly fish, dried, salted or frozen: Other",5
0308.00.00,308,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh or chilled;",0
0308.00.00,308,"Aquatic invertebrates other than crustaceans and molluscs, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process; flours meals and pellets of aquatic",5
0401.00.00,401,"Fresh milk and pateurised milk, including separated milk, milk and cream, not concentrated nor containing added sugar or other sweetening matter  (Excluding Ultra
high temperature (UTH) milk",0
0401.00.00,401,Ultra high temperature (UTH) milk,5
0401.10.00,401,"Fresh Milk of a fat content, by weight, not exceeding 1 percent liters",0
0401.20.00,401,"Fresh milk of a fat content, by weight,
exceeding 1 percent but not exceeding 6 percent liters",0
0401.30.00,401,"Fresh milk of a fat content, by weight, exceeding 6 percent liters",0
0402.00.00,402,"Milk and cream, concentrated or containing added sugar or other sweetening matter including skimmed milk powder, milk food for babies, excluding condensed milk",5
0402.10.00,402,"In powder, granules or other solid forms, of a fat content,by weight, not exceeding 15 percent in powder, granules or other solid forms, of a fat content, by weight, exceeding
15percent",5
0402.10.10,402,Skimmed milk powder and UHT milk,5
0402.10.20,402,"Milk and cream in powder, granules or other solid forms, of a fat content by weight not exceeding 1.5% - Milk food for babies",5
0402.10.90,402,"Milk and cream in powder, granules or other
solid forms, of a fat content by weight not exceeding 1.5% - Other",5
0402.21.00,402,"Milk and cream in powder, granules or other solid forms, of a fat content by weight exceeding 1.5% -  Not containing added
sugar or other sweetening matter",5
0402.29.00,402,"Milk, cream (sweetened, fat content exceeding 1.5%)",5
0402.29.10,402,"Whole Milk (sweetened, fat content exceeding 1.5%)",5
0402.29.20,402,"Milk powder for babies (sweetened, fat content exceeding 1.5%)",5
0402.91.00,402,Not containing added sugar or other sweetening matter,5
0402.91.10,402,Condensed milk - Not containing added sugar or other sweetening matter,18
0402.99.20,402,Condensed milk - Not containing added sugar or other sweetening matter,18
0402.99.00,402,"Milk, cream (concentrated or sweetened)(Other whole milk)",5
0403.00.00,403,"Cream, yogurt, kephir and other fermented or acidified milk and cream, wheter or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa.",5
0403.10.00,403,Yogurt,5
0403.90.00,403,Buttermilk,0
0403.90.00,403,Curd,0
0403.90.00,403,Lassi,0
0404.00.00,404,"Whey , whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter not elsewhere specified or included.",5
0404.10.00,404,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: modified whey:
whey protein concentrates.",5
0404.90.00,404,Other products consisting of natural milk constituents,5
0405.00.00,405,"Butter and other fats (ghee, butter oil etc.,) and oils derived from milk; dairy spreads",12
0405.10.00,405,Butter,12
0405.20.00,405,Dairy spreads,12
0405.90.10,405,Butter oil,12
0405.90.20,405,Ghee,12
0406.00.00,406,Chena or paneer,0
0406.00.00,406,Chena or paneer put up in unit container and bearing a registered brand name,5
0406.10.00,406,Curd (Fresh),0
0406.10.00,406,"Fresh (unripened or uncured) cheese, including whey cheese",12
0406.20.00,406,"Grated or powdered cheese, of all kinds",12
0406.30.00,406,"Processed (process) cheese, not grated or powdered (Cottage Cheese (Paneer))",12
0406.40.00,406,Blue-veined cheese,12
0406.90.00,406,"Other cheese: cheddar cheese , colby , other, including mixtures",12
0407.00.00,407,"Birds' eggs, in shell, fresh, preserved or cooked:",0
0407.00.00,407,"Birds' eggs, in the shell, fresh, preserved or cooked",0
0407.00.10,407,Sepcies gallus domesticus and ducks for hatching,0
0407.00.20,407,Eggs of the species gallus amd ducks other that for hatching,0
0407.00.90,407,"Birds' eggs, in shell, fresh, preserved or cooked:Other",0
0407.20.00,407,"Birds' eggs, in shell, fresh, preserved or cooked: For hatching doz",0
0407.40.00,407,"Birds' eggs, in shell, fresh, preserved or cooked: Other doz",0
0408.00.00,408,"Birds eggs, not in shell, and egg yolks, fresh, dried, cooked by styeaming or by boiling in water, moulded, frozen or otherwise preserved whether or not containing added sugar or other sweetening matter.",5
0408.11.00,408,Egg yolks (dried),5
0408.19.00,408,"Egg yolks (fresh, frozen, other preserved; not dried)",5
0408.99.00,408,"Birds' eggs (not in shell; frozen, preserved or cooked)",5
0409.00.00,409,"Natural Honey, other than put up in unit containiner and bearing a registered brand
name",0
0409.00.00,409,"Natural Honey, put up in unit containiner and bearing a registered brand name",5
0409.10.00,409,Natural honey,0
0409.20.00,409,Packaged for retail sale,5
0410.00.00,410,"Edible products of animal origin, not elsewhere specified or included",5
0410.00.10,410,Edible products of wild animal,5
0410.00.20,410,Edible products of Turtle eggs and Salanganes nests,5
0410.00.90,410,"Edible products of animal origin, nesoi: Other",5
0501.00.00,501,"Human hair, unworked , whether or not washed or scoured; waste of human hair",0
0501.00.10,501,"Human hair unworked, whether or not washed or scoured",0
0501.00.20,501,Human hair waste,0
0502.00.00,502,"Pigs', hogs' or boars' bristles and hair ; badger hair and other brush making hair; waste of
such bristles or hair.",5
0502.10.10,502,"Pigs', hogs' or boars' bristles and hair",5
0502.10.00,502,"Waste of Pigs', hogs' or boars' bristles and hair",5
0502.90.10,502,Badger hair and other brushmaking hair,5
0502.90.20,502,Yak hair and other brushmaking hair,5
0503.00.00,503,"Horsehair (as defined in note 4) and horsehair waste, whether or not put up as a layer with or without supporting material",5
0504.00.00,504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof; fresh, chilled, frozen, salted, in brine, dried or
smoked",5
0504.00.10,504,"Guts of cattle fornatural food casings  fresh,
chilled, frozen, salted, in brine, dried or smoked",5
0504.00.20,504,"Guts of cattle sheep and goats for natural
food casings  fresh, chilled, frozen, salted, in brine, dried or smoked",5
0504.00.31,504,Guts of other wild animals for natural food casings,5
0504.40.00,504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof: prepared for use as sausage casings:",5
0505.00.00,505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, notfurther worked than cleaned, disinfected or treate for preservation; powder and waste of feathers or parts of feat",5
0505.10.10,505,Feathers of a kind used for stuffing; down of wild birds,5
0505.90.10,505,Peacock tail and wind feather (trimmed or not),5
0505.90.21,505,Other feather (excluding for stuffing pupose) of wild birds,5
0505.90.31,505,Powder and waste of feathers or other parts of feathers of wild birds,5
0505.90.91,505,Skins and other parts of birds of wild birds,5
0506.00.00,506,"Bones & horn cores, unworked , defatted, simply prepared (but not cut to shape), treated with acid or glatinised; powder and
waste of these products.",5
0506.10.00,506,Ossein and bones treated with acid,5
0506.10.11,506,"Bones including horn cores, crushed of wild animlas",5
0506.10.21,506,Bone grist of wild animals,5
0506.10.31,506,Ossein of wild animals,5
0506.10.41,506,"Bones, hon-cones and parts thereof, not crushed: of wild animals",5
0506.90.11,506,Bone meal of wild animals,5
0506.90.91,506,"Bones, horn-cores (unworked, defatted,
degelatinized); powder and waste of wild animals",5
0507.00.00,507,"Ivory, tortoise-shell, whalebone, and wharebone hair, horns, antlers, hoovers, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and
waste of these products",5
0507.10.20,507,Ivory powder and waste,5
0507.90.00,507,"Tortoise-shell, whalebone, antlers, hooves, claws; their powder and waste",5
0507.90.10,507,Hoof meal powder and waste,5
0507.90.30,507,"Hooves, claws, nails and beaks powder and waste",5
0507.90.40,507,Antlers powder and waste,5
0507.90.50,507,Buffalo horns powder and waste,5
0507.90.60,507,Tortoise shell powder and waste,5
0507.90.70,507,Claws and waste of tortoise sheel powder and waste,5
0507.90.90,507,"Tortoise-shell, whalebone, antlers, hooves, claws; their powder and waste: Other",5
0508 .00.00,508,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs,crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape; powder and waste
thereof",5
0508 .00.10,508,"Coral unworked, powder/waste",5
0508 .00.20,508,"Chanks unworked, powder/waste",5
0508 .00.30,508,"Cowries unworked, powder/waste",5
0508 .00.40,508,"Cuttlefishl unworked, powder/waste",5
0508 .00.50,508,"Shells unworked, powder/waste",5
0508 .00.90,508,"shells of molluscs,crustaceans or echinoderms and cuttlebone, unworked, powder/waste",5
0509.00.00,509,Natural sponges of animal origin,5
0510.00.00,510,"Ambergris, castoreum, civet and musk; cantharides; bile, wether or not dried; glands and other animal products used in the preparation of pharmaceutical products , fresh, chilled, frozen or otherwise provisionally
preserved.",5
0511.00.00,511,"Animal products not elsewhere specified or included; dead animals of chapter 1 or3, unfit for human consumption, other than semen
including frozen semen.",5
0511.10.00,511,Bovine (bull) semen,5
0511.91.00,511,"Products of fish or crustaceans, molluscs or
other aquatic invertebrates; dead animals of chapter 3",5
0511.91.10,511,Fish nails,5
0511.91.20,511,Fish tails,5
0511.91.30,511,Other fish waste,5
0511.99.11,511,Silkworm pupae - Artemia,5
0511.99.29,511,Sinews and tendons of wild life,5
0511.99.91,511,Semen inclduing frozen semen,0
0601.00.00,601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormat, in growth or in flower; chicory plants and roots other than roots of
heading 1212",0
0601.10.00,601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant in growth or in flower",0
0601.20.00,601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory
plants and roots",0
0601.20.21,601,Chicory plants,0
0601.20.22,601,Chicory roots,0
0601.20.90,601,Other than roots of heading 1212,0
0602.00.00,602,"Other live plants (including their roots), cuttings and slips; mushroom spawn",0
0602.10.00,602,Unrooted cuttings and slips,0
0602.20.00,602,"Trees, shrubs and bushes, grafted or not, of kinds, which bear edible fruits or nuts",0
0602.30.00,602,"Rhododendrons and azaleas, grafted or not",0
0602.40.00,602,"Roses, grafted or not",0
0602.90.10,602,Mushroom spawn grafted or not,0
0602.90.20,602,Flowering plants (Excluding roses and rhododerndrons) grafted or not,0
0602.90.30,602,Tissue culture plant grafted or not,0
0602.99.00,602,"Herbaceous perennials: orchid plants, with soil attached to roots: chrysanthemums no, trees and poinsettias grafted or not",0
0603.00.00,603,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or
otherwise prepared",0
0603.11.00,603,Fresh roses,0
0603.12.00,603,Fresh carnations,0
0603.13.00,603,Fresh orchids,0
0603.14.00,603,Fresh chrysanthemums,0
0603.90.00,603,"Cut flowers and flower buds (dried, dyed, bleached, otherwise prepared)",0
0604.00.00,604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental puposes, fresh, dried, dyed, bleached, imregnated or otherwise prepared",0
0604.10.00,604,Mosses and lichens,0
0604.99.00,604,"Foliage, branches, other parts of plants; grass (dried, otherwise prepared)",0
0701.00.00,701,Potatoes fresh or chilled,0
0701.10.00,701,Potato Seed,0
0702.00.00,702,"Tomatoes, fresh or chilled",0
0702.10.00,702,Cherry,0
0702.30.00,702,Roma (plum type),0
0703.00.00,703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled",0
0703.10.00,703,Onions and shallots: onion sets,0
0703.20.00,703,Garlic,0
0703.90.00,703,Leeks and other alliaceous vegetables,0
